[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                                                                                                                         
{'loss': 17.94, 'grad_norm': 852.0, 'learning_rate': 4.99999999995524e-05, 'epoch': 0.0}
{'loss': 17.2311, 'grad_norm': 366.0, 'learning_rate': 4.99999999982096e-05, 'epoch': 0.0}
{'loss': 13.1875, 'grad_norm': 36.75, 'learning_rate': 4.999999999597159e-05, 'epoch': 0.0}
{'loss': 12.5535, 'grad_norm': 17.5, 'learning_rate': 4.9999999992838386e-05, 'epoch': 0.0}
{'loss': 12.5067, 'grad_norm': 15.875, 'learning_rate': 4.999999998880998e-05, 'epoch': 0.0}
{'loss': 12.1855, 'grad_norm': 4.875, 'learning_rate': 4.999999998388636e-05, 'epoch': 0.0}
{'loss': 12.0619, 'grad_norm': 2.375, 'learning_rate': 4.999999997806755e-05, 'epoch': 0.0}
{'loss': 11.9915, 'grad_norm': 1.25, 'learning_rate': 4.999999997135353e-05, 'epoch': 0.0}
{'loss': 11.9642, 'grad_norm': 1.15625, 'learning_rate': 4.9999999963744316e-05, 'epoch': 0.0}
{'loss': 11.9479, 'grad_norm': 1.1015625, 'learning_rate': 4.9999999955239895e-05, 'epoch': 0.0}
{'loss': 11.9246, 'grad_norm': 0.71484375, 'learning_rate': 4.999999994584027e-05, 'epoch': 0.0}
{'loss': 11.8929, 'grad_norm': 0.828125, 'learning_rate': 4.9999999935545444e-05, 'epoch': 0.0}
{'loss': 11.8616, 'grad_norm': 0.76953125, 'learning_rate': 4.999999992435541e-05, 'epoch': 0.0}
{'loss': 11.8222, 'grad_norm': 0.9609375, 'learning_rate': 4.9999999912270184e-05, 'epoch': 0.0}
{'loss': 11.7803, 'grad_norm': 0.859375, 'learning_rate': 4.999999989928975e-05, 'epoch': 0.0}
{'loss': 11.6677, 'grad_norm': 1.296875, 'learning_rate': 4.999999988541412e-05, 'epoch': 0.0}
{'loss': 11.5662, 'grad_norm': 1.4921875, 'learning_rate': 4.9999999870643286e-05, 'epoch': 0.0}
{'loss': 11.5734, 'grad_norm': 1.375, 'learning_rate': 4.999999985497724e-05, 'epoch': 0.0}
{'loss': 11.5241, 'grad_norm': 1.71875, 'learning_rate': 4.9999999838416e-05, 'epoch': 0.0}
{'loss': 11.2292, 'grad_norm': 1.6328125, 'learning_rate': 4.999999982095956e-05, 'epoch': 0.0}
{'loss': 11.2142, 'grad_norm': 2.109375, 'learning_rate': 4.999999980260791e-05, 'epoch': 0.0}
{'loss': 11.1913, 'grad_norm': 1.9609375, 'learning_rate': 4.999999978336107e-05, 'epoch': 0.0}
{'loss': 11.0455, 'grad_norm': 2.1875, 'learning_rate': 4.9999999763219016e-05, 'epoch': 0.0}
{'loss': 10.9047, 'grad_norm': 2.1875, 'learning_rate': 4.999999974218177e-05, 'epoch': 0.0}
{'loss': 10.8959, 'grad_norm': 2.421875, 'learning_rate': 4.999999972024931e-05, 'epoch': 0.0}
{'loss': 10.7699, 'grad_norm': 2.421875, 'learning_rate': 4.999999969742165e-05, 'epoch': 0.0}
{'loss': 10.7518, 'grad_norm': 2.375, 'learning_rate': 4.9999999673698794e-05, 'epoch': 0.0}
{'loss': 10.8296, 'grad_norm': 2.59375, 'learning_rate': 4.999999964908074e-05, 'epoch': 0.0}
{'loss': 10.5596, 'grad_norm': 2.015625, 'learning_rate': 4.9999999623567475e-05, 'epoch': 0.0}
{'loss': 10.5979, 'grad_norm': 2.375, 'learning_rate': 4.999999959715901e-05, 'epoch': 0.0}
{'loss': 10.3473, 'grad_norm': 2.8125, 'learning_rate': 4.999999956985534e-05, 'epoch': 0.0}
{'loss': 10.396, 'grad_norm': 1.9453125, 'learning_rate': 4.9999999541656475e-05, 'epoch': 0.0}
{'loss': 10.4072, 'grad_norm': 2.21875, 'learning_rate': 4.9999999512562404e-05, 'epoch': 0.0}
{'loss': 10.2946, 'grad_norm': 2.015625, 'learning_rate': 4.999999948257312e-05, 'epoch': 0.0}
{'loss': 10.429, 'grad_norm': 1.984375, 'learning_rate': 4.9999999451688654e-05, 'epoch': 0.0}
{'loss': 10.0727, 'grad_norm': 2.875, 'learning_rate': 4.9999999419908973e-05, 'epoch': 0.0}
{'loss': 10.1761, 'grad_norm': 2.03125, 'learning_rate': 4.999999938723409e-05, 'epoch': 0.0}
{'loss': 10.2494, 'grad_norm': 2.21875, 'learning_rate': 4.9999999353664004e-05, 'epoch': 0.0}
{'loss': 10.5355, 'grad_norm': 2.0625, 'learning_rate': 4.999999931919872e-05, 'epoch': 0.0}
{'loss': 10.1406, 'grad_norm': 2.265625, 'learning_rate': 4.999999928383824e-05, 'epoch': 0.0}
{'loss': 10.4357, 'grad_norm': 2.15625, 'learning_rate': 4.9999999247582546e-05, 'epoch': 0.0}
{'loss': 10.1489, 'grad_norm': 2.1875, 'learning_rate': 4.999999921043166e-05, 'epoch': 0.0}
{'loss': 10.3273, 'grad_norm': 2.109375, 'learning_rate': 4.9999999172385557e-05, 'epoch': 0.0}
{'loss': 10.3337, 'grad_norm': 1.96875, 'learning_rate': 4.999999913344427e-05, 'epoch': 0.0}
{'loss': 10.2939, 'grad_norm': 1.875, 'learning_rate': 4.9999999093607765e-05, 'epoch': 0.0}
{'loss': 10.2163, 'grad_norm': 2.40625, 'learning_rate': 4.9999999052876065e-05, 'epoch': 0.0}
{'loss': 9.9993, 'grad_norm': 2.203125, 'learning_rate': 4.9999999011249166e-05, 'epoch': 0.0}
{'loss': 10.3265, 'grad_norm': 2.21875, 'learning_rate': 4.9999998968727055e-05, 'epoch': 0.0}
{'loss': 10.0972, 'grad_norm': 2.0, 'learning_rate': 4.999999892530975e-05, 'epoch': 0.0}
